Week #,Start,End,CSP,NTID,Engineer,Email,Mobile
16.0,2024-04-19,2024-04-26,Azure,wdog,Walker Dog,wdog@gmail.com,111-3333
,,,AWS,zchair,Zero Chair,zchair@gmail.com,444-3333
17.0,2024-04-26,2024-05-03,Azure,cbiggs,Clyde Biggs,cbiggs@gmail.com,867-5309
,,,AWS,asmalls,Allan Smalls,asmalls@gmail.com,777-7777
18.0,2024-05-03,2024-05-10,Azure,gskills,Gary Skills,gskills@gmail.com,555-5555
,,,AWS,rcoder,Robert Coder,rcoder@gmail.com,333-3333
19.0,2024-05-10,2024-05-17,Azure,bcloud,Betty Cloud,bcloud@gmail.com,222-2222
,,,AWS,tground,Timmy Ground,tground@gmail.com,444-4444
20.0,2024-05-17,2024-05-24,Azure,srain,Scott Rain,srain@gmail.com,888-8888
,,,AWS,fcamp,Frank Camp,fcamp@gmail.com,999-9999
21.0,2024-05-24,2024-05-31,Azure,sshed,Shohei Shed,sshed@gmail.com,111-1232
,,,AWS,pgrass,Piyali Grass,pgrass@gmail.com,444-5555
22.0,2024-05-31,2024-06-07,Azure,lwater,Tyson Water,twater@gmail.com,555-6666
,,,AWS,kquake,Kate Quake,kquake@gmail.com,666-7777
23.0,2024-06-07,2024-06-14,Azure,inails,Ismail Nails,inails@gmail.com,888-9999
,,,AWS,erobot,Ed Robot,erobot@gmail.com,111-2222
24.0,2024-06-14,2024-06-21,Azure,wdog,Walker Dog,wdog@gmail.com,111-3333
,,,AWS,zchair,Zero Chair,zchair@gmail.com,444-3333
25.0,2024-06-21,2024-06-28,Azure,cbiggs,Clyde Biggs,cbiggs@gmail.com,867-5309
,,,AWS,asmalls,Allan Smalls,asmalls@gmail.com,777-7777
26.0,2024-06-28,2024-07-05,Azure,gskills,Gary Skills,gskills@gmail.com,555-5555
,,,AWS,rcoder,Robert Coder,rcoder@gmail.com,333-3333
27.0,2024-07-05,2024-07-12,Azure,bcloud,Betty Cloud,bcloud@gmail.com,222-2222
,,,AWS,tground,Timmy Ground,tground@gmail.com,444-4444
28.0,2024-07-12,2024-07-19,Azure,srain,Scott Rain,srain@gmail.com,888-8888
,,,AWS,fcamp,Frank Camp,fcamp@gmail.com,999-9999
29.0,2024-07-19,2024-07-26,Azure,sshed,Shohei Shed,sshed@gmail.com,111-1232
,,,AWS,pgrass,Piyali Grass,pgrass@gmail.com,444-5555
30.0,2024-07-26,2024-08-02,Azure,lwater,Tyson Water,twater@gmail.com,555-6666
,,,AWS,kquake,Kate Quake,kquake@gmail.com,666-7777
31.0,2024-08-02,2024-08-09,Azure,inails,Ismail Nails,inails@gmail.com,888-9999
,,,AWS,erobot,Ed Robot,erobot@gmail.com,111-2222
32.0,2024-08-09,2024-08-16,Azure,wdog,Walker Dog,wdog@gmail.com,111-3333
,,,AWS,zchair,Zero Chair,zchair@gmail.com,444-3333
33.0,2024-08-16,2024-08-23,Azure,cbiggs,Clyde Biggs,cbiggs@gmail.com,867-5309
,,,AWS,asmalls,Allan Smalls,asmalls@gmail.com,777-7777
34.0,2024-08-23,2024-08-30,Azure,gskills,Gary Skills,gskills@gmail.com,555-5555
,,,AWS,rcoder,Robert Coder,rcoder@gmail.com,333-3333
35.0,2024-08-30,2024-09-06,Azure,bcloud,Betty Cloud,bcloud@gmail.com,222-2222
,,,AWS,tground,Timmy Ground,tground@gmail.com,444-4444
36.0,2024-09-06,2024-09-13,Azure,srain,Scott Rain,srain@gmail.com,888-8888
,,,AWS,fcamp,Frank Camp,fcamp@gmail.com,999-9999
37.0,2024-09-13,2024-09-20,Azure,sshed,Shohei Shed,sshed@gmail.com,111-1232
,,,AWS,pgrass,Piyali Grass,pgrass@gmail.com,444-5555
38.0,2024-09-20,2024-09-27,Azure,lwater,Tyson Water,twater@gmail.com,555-6666
,,,AWS,kquake,Kate Quake,kquake@gmail.com,666-7777
39.0,2024-09-27,2024-10-04,Azure,inails,Ismail Nails,inails@gmail.com,888-9999
,,,AWS,erobot,Ed Robot,erobot@gmail.com,111-2222
40.0,2024-10-04,2024-10-11,Azure,wdog,Walker Dog,wdog@gmail.com,111-3333
,,,AWS,zchair,Zero Chair,zchair@gmail.com,444-3333
41.0,2024-10-11,2024-10-18,Azure,cbiggs,Clyde Biggs,cbiggs@gmail.com,867-5309
,,,AWS,asmalls,Allan Smalls,asmalls@gmail.com,777-7777
42.0,2024-10-18,2024-10-25,Azure,gskills,Gary Skills,gskills@gmail.com,555-5555
,,,AWS,rcoder,Robert Coder,rcoder@gmail.com,333-3333
43.0,2024-10-25,2024-11-01,Azure,bcloud,Betty Cloud,bcloud@gmail.com,222-2222
,,,AWS,tground,Timmy Ground,tground@gmail.com,444-4444
44.0,2024-11-01,2024-11-08,Azure,srain,Scott Rain,srain@gmail.com,888-8888
,,,AWS,fcamp,Frank Camp,fcamp@gmail.com,999-9999
45.0,2024-11-08,2024-11-15,Azure,sshed,Shohei Shed,sshed@gmail.com,111-1232
,,,AWS,pgrass,Piyali Grass,pgrass@gmail.com,444-5555
46.0,2024-11-15,2024-11-22,Azure,lwater,Tyson Water,twater@gmail.com,555-6666
,,,AWS,kquake,Kate Quake,kquake@gmail.com,666-7777
47.0,2024-11-22,2024-11-29,Azure,inails,Ismail Nails,inails@gmail.com,888-9999
,,,AWS,erobot,Ed Robot,erobot@gmail.com,111-2222
48.0,2024-11-29,2024-12-06,Azure,wdog,Walker Dog,wdog@gmail.com,111-3333
,,,AWS,zchair,Zero Chair,zchair@gmail.com,444-3333
49.0,2024-12-06,2024-12-13,Azure,cbiggs,Clyde Biggs,cbiggs@gmail.com,867-5309
,,,AWS,asmalls,Allan Smalls,asmalls@gmail.com,777-7777
50.0,2024-12-13,2024-12-20,Azure,gskills,Gary Skills,gskills@gmail.com,555-5555
,,,AWS,rcoder,Robert Coder,rcoder@gmail.com,333-3333
51.0,2024-12-20,2024-12-27,Azure,bcloud,Betty Cloud,bcloud@gmail.com,222-2222
,,,AWS,tground,Timmy Ground,tground@gmail.com,444-4444
52.0,2024-12-27,2025-01-03,Azure,srain,Scott Rain,srain@gmail.com,888-8888
,,,AWS,fcamp,Frank Camp,fcamp@gmail.com,999-9999
